symbol,rows,start,end
UJJIVANSFB,1206,2020-12-01,2025-09-29
SBICARD,1206,2020-12-01,2025-09-29
SYNGENE,1206,2020-12-01,2025-09-29
PPL,1206,2020-12-01,2025-09-29
BANDHANBNK,1206,2020-12-01,2025-09-29
IDFCFIRSTB,1206,2020-12-01,2025-09-29
VBL,1206,2020-12-01,2025-09-29
KOTAKBANK,1206,2020-12-01,2025-09-29
ADANIENT,1206,2020-12-01,2025-09-29
TATAPOWER,1206,2020-12-01,2025-09-29
SBIN,1206,2020-12-01,2025-09-29
WHIRLPOOL,1206,2020-12-01,2025-09-29
CASTROLIND,1206,2020-12-01,2025-09-29
BHEL,1206,2020-12-01,2025-09-29
HAL,1206,2020-12-01,2025-09-29
FEDERALBNK,1206,2020-12-01,2025-09-29
MAZDOCK,1206,2020-12-01,2025-09-29
COALINDIA,1206,2020-12-01,2025-09-29
IEX,1206,2020-12-01,2025-09-29
BAJFINANCE,1206,2020-12-01,2025-09-29
RVNL,1206,2020-12-01,2025-09-29
ADANIPORTS,1206,2020-12-01,2025-09-29
IRCTC,1206,2020-12-01,2025-09-29
PRINCEPIPE,1206,2020-12-01,2025-09-29
AXISBANK,1206,2020-12-01,2025-09-29
DMART,1206,2020-12-01,2025-09-29
HDFCBANK,1206,2020-12-01,2025-09-29
TATAELXSI,1206,2020-12-01,2025-09-29
INDIGO,1206,2020-12-01,2025-09-29
MCX,1206,2020-12-01,2025-09-29
TATACONSUM,1206,2020-12-01,2025-09-29
IRFC,1165,2021-01-29,2025-09-29
SPANDANA,1149,2020-12-01,2025-09-29
RAILTEL,1145,2021-02-26,2025-09-29
MANINDS,1144,2020-12-01,2025-09-29
HFCL,1143,2020-12-01,2025-09-29
COCHINSHIP,1142,2020-12-01,2025-09-29
CDSL,1142,2020-12-01,2025-09-29
KELLTONTEC,1141,2020-12-01,2025-09-29
HAPPSTMNDS,1137,2020-12-01,2025-09-29
MTARTECH,1135,2021-03-15,2025-09-29
NEWGEN,1074,2020-12-01,2025-09-29
SONACOMS,1067,2021-06-24,2025-09-29
CLEAN,1050,2021-07-19,2025-09-29
ZOMATO,1047,2021-07-23,2025-09-29
RTNPOWER,987,2020-12-01,2025-09-29
DATAPATTNS,942,2021-12-24,2025-09-29
LATENTVIEW,907,2021-11-23,2025-09-29
AETHER,833,2022-06-03,2025-09-29
ACI,718,2022-11-21,2025-09-29
DCXINDIA,667,2022-11-11,2025-09-29
AVALON,618,2023-04-18,2025-09-29
AEROFLEX,524,2023-08-31,2025-09-29
JIOFIN,522,2023-09-04,2025-09-29
IREDA,464,2023-11-29,2025-09-29
INOXINDIA,448,2023-12-21,2025-09-29
PREMIERENE,275,2024-09-03,2025-09-29
VINCOFE,243,2024-10-18,2025-09-29
SWIGGY,225,2024-11-13,2025-09-29
WAAREERTL,125,2025-04-09,2025-09-29
